epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,506.841,1.53918,1.00379,0.82594,0.92398,0.91246,0.95487,0.60709,1.31978,0.62892,0.80447,0.000663551,0.000663551,0.000663551
2,1006.49,1.65281,1.04112,0.83037,0.92501,0.88215,0.93893,0.58464,1.35418,0.67301,0.80514,0.00128632,0.00128632,0.00128632
3,1538.13,1.67118,1.03645,0.83586,0.88414,0.92502,0.93876,0.57124,1.40284,0.66963,0.8136,0.00186509,0.00186509,0.00186509
4,2027.4,1.74954,1.06319,0.83871,0.90529,0.91582,0.94596,0.5773,1.34925,0.67793,0.80422,0.001802,0.001802,0.001802
5,2550.69,1.60756,1.00761,0.81573,0.87951,0.88482,0.92759,0.56795,1.34955,0.6465,0.81223,0.001736,0.001736,0.001736
6,3043.3,1.66992,1.08719,0.82355,0.90146,0.92408,0.94946,0.60971,1.30706,0.65864,0.8047,0.00167,0.00167,0.00167
7,3504.81,1.64309,1.08426,0.80768,0.89432,0.91582,0.93867,0.55973,1.47451,0.66562,0.81495,0.001604,0.001604,0.001604
8,3993.4,1.62954,0.99939,0.81628,0.89254,0.91582,0.94303,0.57391,1.36988,0.67745,0.80759,0.001538,0.001538,0.001538
9,4484.13,1.58231,1.01241,0.81455,0.90555,0.89562,0.93778,0.56183,1.4191,0.65142,0.8082,0.001472,0.001472,0.001472
10,4980.23,1.59658,1.0083,0.82386,0.91663,0.8885,0.942,0.59204,1.32999,0.66471,0.80485,0.001406,0.001406,0.001406
11,5451.21,1.62587,1.05872,0.81374,0.92407,0.87879,0.94931,0.60309,1.31742,0.65696,0.80565,0.00134,0.00134,0.00134
12,5958.83,1.64874,1.11116,0.81623,0.90305,0.90948,0.93841,0.59785,1.31222,0.64428,0.80072,0.001274,0.001274,0.001274
13,6455.93,1.61346,0.97397,0.81854,0.90729,0.90909,0.93899,0.60988,1.28228,0.60461,0.80327,0.001208,0.001208,0.001208
14,6948.83,1.58271,0.97751,0.81738,0.90894,0.87381,0.93852,0.59817,1.32157,0.64662,0.80851,0.001142,0.001142,0.001142
15,7413.17,1.539,0.94577,0.80551,0.91034,0.91246,0.93513,0.59173,1.31709,0.62018,0.80827,0.001076,0.001076,0.001076
16,7895.11,1.54702,0.94792,0.81478,0.9131,0.91984,0.94929,0.6179,1.28693,0.60841,0.80352,0.00101,0.00101,0.00101
17,8388.82,1.57568,0.97158,0.81762,0.91113,0.91246,0.94182,0.61267,1.26542,0.62144,0.80431,0.000944,0.000944,0.000944
18,8887.25,1.53788,0.98636,0.80778,0.91353,0.91582,0.95103,0.6226,1.25429,0.61943,0.80148,0.000878,0.000878,0.000878
19,9410.7,1.55153,0.96099,0.82942,0.92254,0.89562,0.95267,0.631,1.24334,0.59784,0.79987,0.000812,0.000812,0.000812
20,9890.94,1.55775,0.93127,0.81333,0.88748,0.92949,0.95354,0.62282,1.26933,0.62824,0.80217,0.000746,0.000746,0.000746
21,10396.8,1.33898,0.74433,0.85379,0.90101,0.91935,0.94698,0.60654,1.31285,0.62646,0.8043,0.00068,0.00068,0.00068
22,10890.9,1.31019,0.73014,0.84439,0.92923,0.89226,0.95501,0.63376,1.23802,0.59588,0.79946,0.000614,0.000614,0.000614
23,11358.4,1.30406,0.71758,0.84527,0.93613,0.88836,0.94501,0.63164,1.23561,0.59911,0.80427,0.000548,0.000548,0.000548
24,11833.2,1.31381,0.70923,0.83728,0.9193,0.92052,0.95762,0.64477,1.23302,0.58431,0.80219,0.000482,0.000482,0.000482
25,12329.3,1.27796,0.70654,0.84525,0.91218,0.90929,0.95515,0.63429,1.24327,0.60514,0.80417,0.000416,0.000416,0.000416
26,12796.7,1.27555,0.68598,0.83941,0.91007,0.92256,0.95443,0.64036,1.22354,0.59101,0.80081,0.00035,0.00035,0.00035
27,13291.5,1.27161,0.70288,0.84832,0.90202,0.93266,0.95612,0.64321,1.22057,0.57877,0.80051,0.000284,0.000284,0.000284
28,13791,1.26239,0.70995,0.84305,0.90795,0.92929,0.95413,0.64723,1.21213,0.57781,0.80052,0.000218,0.000218,0.000218
29,14279.4,1.28733,0.7063,0.84234,0.90533,0.93373,0.95366,0.64743,1.216,0.58105,0.80145,0.000152,0.000152,0.000152
30,14789.9,1.26101,0.6898,0.8443,0.92166,0.90909,0.9517,0.64555,1.20898,0.57484,0.80141,8.6e-05,8.6e-05,8.6e-05
